Sex,Length,Diameter,Height,Whole weightShucked weight,Viscera weight,Shell weight,Rings,Age
I,0.440,0.345,0.100,0.366,0.122,0.091,0.120,13
M,0.500,0.410,0.150,0.662,0.282,0.137,0.220,11
I,0.360,0.275,0.095,0.217,0.084,0.044,0.090,7
I,0.385,0.305,0.095,0.252,0.092,0.055,0.090,14
M,0.390,0.300,0.090,0.306,0.143,0.065,0.085,9
M,0.500,0.415,0.165,0.689,0.249,0.138,0.250,13
I,0.360,0.275,0.110,0.234,0.095,0.053,0.085,10
I,0.335,0.260,0.100,0.192,0.079,0.059,0.070,8
F,0.505,0.425,0.140,0.850,0.275,0.163,0.285,19
I,0.395,0.295,0.100,0.272,0.134,0.033,0.085,10
F,0.410,0.325,0.105,0.364,0.159,0.077,0.120,10
F,0.560,0.455,0.190,0.714,0.283,0.129,0.275,9
M,0.565,0.435,0.185,0.982,0.329,0.136,0.390,13
M,0.565,0.455,0.185,0.927,0.354,0.158,0.375,16
M,0.605,0.500,0.175,1.098,0.477,0.232,0.375,12
F,0.565,0.455,0.150,0.821,0.365,0.159,0.260,18
M,0.725,0.565,0.215,1.891,0.698,0.473,0.580,16
F,0.675,0.535,0.160,1.410,0.592,0.318,0.420,16
F,0.665,0.555,0.195,1.439,0.581,0.354,0.360,17
F,0.565,0.490,0.155,0.925,0.405,0.220,0.255,11
F,0.645,0.550,0.175,1.292,0.570,0.305,0.330,14
M,0.575,0.470,0.140,0.838,0.349,0.174,0.240,11
F,0.640,0.540,0.175,1.221,0.510,0.259,0.390,15
I,0.360,0.280,0.105,0.199,0.070,0.045,0.080,9
I,0.415,0.310,0.110,0.297,0.123,0.057,0.100,10
F,0.525,0.410,0.135,0.709,0.293,0.153,0.235,11
M,0.380,0.285,0.100,0.267,0.115,0.061,0.075,11
F,0.585,0.465,0.170,0.992,0.387,0.224,0.265,12
I,0.240,0.185,0.070,0.072,0.026,0.018,0.025,6
I,0.220,0.165,0.055,0.055,0.022,0.012,0.020,5
I,0.255,0.195,0.070,0.074,0.026,0.020,0.025,6
I,0.175,0.125,0.050,0.024,0.008,0.004,0.008,5
F,0.670,0.550,0.190,1.391,0.543,0.304,0.400,12
M,0.655,0.530,0.195,1.388,0.567,0.274,0.410,13
F,0.680,0.550,0.210,1.745,0.598,0.305,0.625,17
M,0.675,0.555,0.200,1.439,0.545,0.267,0.465,21
F,0.530,0.440,0.135,0.784,0.313,0.172,0.219,9
F,0.515,0.405,0.120,0.646,0.290,0.141,0.177,10
I,0.430,0.340,0.120,0.358,0.151,0.065,0.105,9
F,0.520,0.405,0.120,0.627,0.265,0.142,0.181,11
F,0.545,0.415,0.160,0.772,0.272,0.146,0.277,10
M,0.530,0.415,0.175,0.740,0.261,0.140,0.265,17
F,0.465,0.350,0.115,0.421,0.157,0.091,0.135,9
M,0.665,0.540,0.175,1.347,0.496,0.254,0.415,17
M,0.735,0.590,0.225,1.756,0.637,0.341,0.580,21
M,0.660,0.545,0.185,1.320,0.531,0.264,0.455,16
F,0.700,0.585,0.185,1.808,0.706,0.322,0.475,29
M,0.575,0.400,0.155,0.933,0.361,0.245,0.300,17
M,0.570,0.465,0.125,0.849,0.379,0.177,0.240,15
F,0.580,0.460,0.150,0.996,0.429,0.212,0.260,19
M,0.630,0.480,0.145,1.012,0.424,0.237,0.305,12
F,0.585,0.465,0.140,0.908,0.381,0.162,0.315,13
M,0.550,0.450,0.130,0.920,0.378,0.239,0.290,11
F,0.625,0.515,0.150,1.242,0.524,0.307,0.360,15
M,0.540,0.420,0.135,0.808,0.349,0.180,0.235,11
F,0.570,0.455,0.165,1.060,0.440,0.220,0.285,14
M,0.590,0.455,0.145,1.073,0.475,0.190,0.285,14
M,0.580,0.460,0.130,0.921,0.357,0.181,0.290,13
F,0.655,0.510,0.155,1.290,0.535,0.286,0.410,11
M,0.655,0.530,0.175,1.264,0.486,0.264,0.415,15
M,0.625,0.500,0.195,1.369,0.588,0.219,0.370,17
F,0.625,0.500,0.150,0.953,0.345,0.224,0.305,15
F,0.640,0.520,0.175,1.248,0.425,0.260,0.480,12
F,0.605,0.485,0.165,1.011,0.435,0.209,0.300,19
F,0.615,0.525,0.155,1.039,0.427,0.232,0.345,11
M,0.555,0.450,0.175,0.874,0.328,0.202,0.305,10
F,0.580,0.440,0.180,0.854,0.367,0.164,0.245,12
F,0.620,0.520,0.225,1.184,0.378,0.270,0.395,23
F,0.620,0.470,0.225,1.115,0.378,0.215,0.360,15
F,0.600,0.505,0.190,1.129,0.439,0.256,0.360,13
F,0.625,0.485,0.190,1.175,0.439,0.231,0.420,17
M,0.600,0.470,0.175,1.105,0.487,0.247,0.315,15
M,0.560,0.460,0.235,0.840,0.333,0.157,0.305,12
M,0.585,0.455,0.225,1.055,0.382,0.221,0.365,15
M,0.560,0.435,0.180,0.889,0.360,0.204,0.250,11
I,0.560,0.445,0.155,0.874,0.301,0.209,0.275,16
I,0.680,0.530,0.185,1.110,0.439,0.245,0.340,10
F,0.455,0.350,0.140,0.519,0.221,0.127,0.135,10
F,0.490,0.380,0.145,0.673,0.249,0.181,0.210,10
M,0.310,0.220,0.085,0.146,0.061,0.037,0.045,6
F,0.275,0.195,0.070,0.080,0.031,0.022,0.025,5
M,0.270,0.195,0.080,0.100,0.039,0.020,0.030,6
M,0.400,0.290,0.115,0.280,0.112,0.058,0.075,9
M,0.280,0.200,0.080,0.092,0.033,0.022,0.030,5
M,0.325,0.230,0.090,0.147,0.060,0.034,0.045,4
F,0.345,0.250,0.090,0.203,0.078,0.059,0.055,6
M,0.210,0.150,0.050,0.039,0.016,0.009,0.010,3
F,0.360,0.270,0.090,0.189,0.085,0.039,0.055,5
I,0.365,0.260,0.115,0.218,0.094,0.045,0.070,9
M,0.200,0.140,0.055,0.035,0.015,0.008,0.010,5
M,0.235,0.160,0.060,0.055,0.027,0.010,0.015,4
M,0.175,0.125,0.040,0.024,0.010,0.006,0.005,4
M,0.155,0.110,0.040,0.016,0.007,0.003,0.005,3
F,0.570,0.445,0.155,0.733,0.282,0.159,0.235,14
F,0.570,0.450,0.160,0.972,0.397,0.255,0.260,12
M,0.385,0.300,0.095,0.240,0.089,0.059,0.085,9
I,0.530,0.420,0.185,0.752,0.299,0.156,0.205,20
F,0.460,0.355,0.130,0.458,0.192,0.106,0.130,13
I,0.470,0.370,0.120,0.471,0.185,0.106,0.155,12
F,0.435,0.335,0.110,0.380,0.170,0.086,0.110,9
I,0.470,0.370,0.140,0.499,0.210,0.123,0.145,10
I,0.465,0.380,0.130,0.454,0.190,0.080,0.155,11
I,0.520,0.405,0.140,0.578,0.200,0.145,0.179,11
M,0.290,0.230,0.075,0.117,0.043,0.026,0.040,7
M,0.275,0.205,0.070,0.094,0.034,0.020,0.033,5
F,0.375,0.290,0.115,0.271,0.093,0.066,0.089,10
F,0.500,0.375,0.140,0.604,0.242,0.142,0.179,15
F,0.440,0.355,0.115,0.415,0.159,0.093,0.131,11
M,0.420,0.325,0.115,0.289,0.100,0.057,0.114,15
M,0.445,0.350,0.115,0.362,0.157,0.070,0.117,8
F,0.380,0.290,0.105,0.257,0.099,0.051,0.085,10
M,0.320,0.245,0.075,0.156,0.059,0.038,0.049,11
M,0.255,0.195,0.065,0.080,0.032,0.018,0.027,8
M,0.205,0.155,0.045,0.043,0.017,0.006,0.016,7
F,0.565,0.450,0.160,0.795,0.361,0.156,0.230,12
I,0.555,0.425,0.180,0.875,0.370,0.201,0.255,11
I,0.650,0.515,0.160,1.163,0.495,0.203,0.330,17
I,0.615,0.490,0.155,0.989,0.415,0.195,0.345,13
I,0.560,0.440,0.165,0.800,0.335,0.174,0.250,12
I,0.480,0.370,0.120,0.514,0.208,0.131,0.155,13
I,0.485,0.390,0.125,0.591,0.287,0.141,0.120,9
I,0.500,0.385,0.150,0.627,0.261,0.167,0.160,10
I,0.525,0.405,0.150,0.795,0.308,0.205,0.255,14
F,0.660,0.500,0.165,1.191,0.459,0.298,0.370,12
F,0.660,0.530,0.170,1.326,0.519,0.263,0.440,13
I,0.520,0.400,0.145,0.660,0.267,0.106,0.220,13
F,0.440,0.340,0.105,0.364,0.148,0.081,0.118,8
I,0.515,0.400,0.120,0.659,0.271,0.179,0.170,13
F,0.475,0.350,0.115,0.452,0.172,0.092,0.155,11
F,0.545,0.415,0.150,0.734,0.280,0.163,0.219,11
F,0.470,0.355,0.130,0.547,0.201,0.126,0.185,14
M,0.350,0.255,0.065,0.179,0.071,0.039,0.060,10
I,0.485,0.355,0.130,0.581,0.245,0.132,0.168,12
I,0.435,0.330,0.125,0.406,0.169,0.106,0.096,12
M,0.280,0.210,0.080,0.109,0.041,0.027,0.035,7
F,0.410,0.320,0.115,0.387,0.165,0.101,0.099,11
I,0.450,0.350,0.140,0.474,0.210,0.109,0.128,16
I,0.450,0.345,0.135,0.443,0.198,0.088,0.118,14
F,0.590,0.455,0.155,1.066,0.382,0.228,0.415,20
F,0.570,0.440,0.140,0.954,0.379,0.201,0.305,17
I,0.610,0.475,0.150,0.967,0.415,0.200,0.345,10
F,0.610,0.475,0.140,1.133,0.528,0.236,0.350,11
I,0.560,0.425,0.140,0.918,0.401,0.198,0.260,10
F,0.585,0.435,0.175,0.982,0.406,0.250,0.270,10
I,0.580,0.445,0.150,0.887,0.383,0.209,0.255,11
F,0.630,0.480,0.175,1.368,0.502,0.304,0.515,17
F,0.625,0.490,0.175,1.233,0.557,0.247,0.365,11
I,0.550,0.425,0.150,0.806,0.376,0.171,0.245,14
F,0.645,0.525,0.190,1.464,0.662,0.344,0.435,19
I,0.460,0.355,0.140,0.494,0.216,0.133,0.115,13
F,0.410,0.305,0.100,0.363,0.174,0.065,0.110,11
I,0.495,0.390,0.125,0.666,0.284,0.162,0.200,11
I,0.520,0.425,0.170,0.681,0.280,0.174,0.195,10
F,0.550,0.410,0.145,0.829,0.310,0.191,0.250,13
M,0.450,0.335,0.140,0.463,0.164,0.076,0.150,14
F,0.405,0.310,0.120,0.310,0.138,0.058,0.095,13
I,0.510,0.400,0.150,0.745,0.287,0.168,0.235,13
F,0.370,0.290,0.115,0.250,0.111,0.057,0.075,9
I,0.525,0.410,0.175,0.874,0.359,0.207,0.205,18
F,0.660,0.520,0.180,1.514,0.526,0.298,0.420,19
M,0.535,0.420,0.150,0.700,0.258,0.153,0.240,12
I,0.575,0.455,0.180,0.853,0.302,0.183,0.300,13
F,0.550,0.430,0.140,0.714,0.257,0.186,0.225,9
I,0.605,0.470,0.140,0.939,0.339,0.201,0.320,13
I,0.605,0.495,0.145,1.054,0.369,0.226,0.360,12
F,0.560,0.445,0.195,0.981,0.305,0.225,0.335,16
I,0.535,0.420,0.145,0.926,0.398,0.197,0.250,17
F,0.385,0.315,0.110,0.286,0.123,0.064,0.084,10
F,0.390,0.300,0.100,0.265,0.108,0.060,0.087,13
I,0.470,0.345,0.115,0.489,0.201,0.108,0.166,11
I,0.515,0.390,0.140,0.556,0.200,0.114,0.224,12
I,0.425,0.345,0.125,0.425,0.160,0.080,0.154,13
M,0.345,0.270,0.090,0.195,0.078,0.046,0.059,9
I,0.485,0.370,0.130,0.458,0.181,0.113,0.136,10
M,0.370,0.285,0.100,0.228,0.068,0.068,0.081,10
M,0.350,0.265,0.090,0.178,0.058,0.042,0.068,12
F,0.440,0.345,0.170,0.409,0.150,0.083,0.152,12
M,0.195,0.145,0.050,0.032,0.010,0.008,0.012,4
M,0.325,0.240,0.075,0.155,0.048,0.036,0.060,9
I,0.495,0.370,0.125,0.478,0.185,0.071,0.169,18
I,0.450,0.350,0.145,0.525,0.209,0.100,0.166,15
M,0.415,0.345,0.135,0.387,0.128,0.070,0.148,13
F,0.470,0.355,0.140,0.433,0.153,0.095,0.152,12
M,0.320,0.240,0.085,0.170,0.066,0.047,0.049,7
M,0.310,0.225,0.075,0.130,0.046,0.034,0.044,9
M,0.235,0.170,0.055,0.052,0.018,0.011,0.020,7
M,0.345,0.255,0.080,0.169,0.060,0.043,0.054,10
I,0.485,0.380,0.140,0.673,0.218,0.130,0.195,18
F,0.500,0.385,0.115,0.679,0.295,0.138,0.195,12
F,0.500,0.385,0.105,0.498,0.180,0.110,0.170,17
I,0.465,0.360,0.105,0.498,0.214,0.116,0.140,15
F,0.525,0.405,0.160,0.658,0.266,0.113,0.225,12
F,0.425,0.335,0.095,0.322,0.121,0.061,0.125,10
F,0.380,0.305,0.095,0.282,0.126,0.053,0.090,8
I,0.530,0.415,0.145,0.944,0.385,0.185,0.265,21
M,0.340,0.265,0.085,0.184,0.077,0.046,0.065,10
I,0.475,0.365,0.115,0.490,0.223,0.124,0.134,9
F,0.430,0.340,0.120,0.391,0.156,0.095,0.141,7
M,0.460,0.365,0.125,0.467,0.190,0.095,0.158,10
I,0.470,0.360,0.130,0.523,0.198,0.107,0.165,9
M,0.360,0.295,0.100,0.211,0.066,0.053,0.075,9
M,0.355,0.265,0.090,0.168,0.050,0.041,0.063,8
M,0.380,0.235,0.100,0.258,0.106,0.054,0.080,7
M,0.355,0.260,0.085,0.191,0.081,0.049,0.055,6
I,0.440,0.345,0.120,0.487,0.197,0.108,0.160,14
F,0.510,0.400,0.130,0.574,0.219,0.137,0.195,13
M,0.325,0.240,0.085,0.173,0.080,0.038,0.050,7
I,0.620,0.485,0.180,1.179,0.468,0.266,0.390,13
F,0.590,0.450,0.160,0.900,0.358,0.156,0.315,19
M,0.330,0.255,0.095,0.188,0.074,0.045,0.060,7
M,0.450,0.340,0.130,0.372,0.161,0.080,0.105,9
I,0.445,0.330,0.120,0.347,0.120,0.084,0.105,11
M,0.330,0.215,0.075,0.115,0.045,0.027,0.035,6
M,0.480,0.375,0.145,0.777,0.216,0.130,0.170,9
I,0.460,0.350,0.120,0.489,0.193,0.105,0.155,11
F,0.475,0.360,0.125,0.447,0.170,0.081,0.140,9
M,0.255,0.180,0.065,0.079,0.034,0.014,0.025,5
I,0.335,0.245,0.090,0.167,0.060,0.040,0.060,6
I,0.470,0.350,0.130,0.466,0.185,0.099,0.145,11
M,0.310,0.225,0.080,0.135,0.054,0.024,0.050,7
F,0.370,0.280,0.110,0.231,0.095,0.047,0.075,10
M,0.295,0.215,0.075,0.129,0.050,0.030,0.040,7
F,0.555,0.435,0.165,0.970,0.336,0.232,0.295,17
F,0.615,0.515,0.170,1.140,0.431,0.225,0.420,16
I,0.580,0.490,0.195,1.317,0.531,0.254,0.410,18
F,0.585,0.475,0.185,0.959,0.415,0.162,0.330,11
I,0.650,0.525,0.180,1.626,0.597,0.345,0.530,18
I,0.535,0.450,0.170,0.781,0.306,0.156,0.295,11
F,0.415,0.340,0.130,0.368,0.146,0.089,0.120,10
F,0.380,0.305,0.105,0.281,0.105,0.062,0.090,12
I,0.450,0.355,0.120,0.412,0.115,0.067,0.160,19
F,0.395,0.295,0.095,0.225,0.078,0.054,0.080,10
M,0.455,0.350,0.120,0.484,0.182,0.144,0.160,11
F,0.485,0.380,0.150,0.605,0.216,0.140,0.180,15
M,0.550,0.425,0.155,0.918,0.278,0.243,0.335,13
F,0.450,0.350,0.145,0.543,0.177,0.123,0.175,13
M,0.475,0.385,0.145,0.618,0.235,0.108,0.215,14
F,0.500,0.380,0.155,0.655,0.241,0.143,0.205,17
F,0.530,0.410,0.165,0.812,0.240,0.169,0.240,19
M,0.490,0.390,0.150,0.573,0.225,0.124,0.170,21
F,0.490,0.385,0.150,0.787,0.241,0.140,0.240,23
F,0.520,0.395,0.180,0.640,0.158,0.110,0.245,22
M,0.540,0.415,0.145,0.740,0.264,0.168,0.245,12
F,0.500,0.375,0.115,0.595,0.185,0.148,0.190,11
F,0.450,0.380,0.165,0.817,0.250,0.192,0.265,23
F,0.370,0.275,0.100,0.223,0.093,0.026,0.080,8
I,0.370,0.275,0.100,0.230,0.089,0.047,0.070,7
M,0.485,0.370,0.140,0.573,0.204,0.142,0.175,10
F,0.435,0.325,0.115,0.392,0.154,0.094,0.120,7
M,0.535,0.405,0.185,0.835,0.318,0.173,0.290,16
M,0.510,0.400,0.140,0.652,0.246,0.167,0.185,10
M,0.565,0.440,0.185,0.909,0.344,0.233,0.255,15
F,0.535,0.400,0.150,0.805,0.335,0.213,0.210,13
F,0.535,0.405,0.125,0.927,0.260,0.143,0.345,16
M,0.525,0.400,0.170,0.731,0.279,0.206,0.195,11
M,0.590,0.440,0.150,0.956,0.366,0.243,0.295,11
M,0.500,0.375,0.150,0.636,0.254,0.145,0.190,10
I,0.255,0.190,0.075,0.087,0.035,0.021,0.025,5
F,0.430,0.325,0.115,0.387,0.148,0.107,0.110,11
M,0.380,0.290,0.120,0.283,0.118,0.066,0.085,9
I,0.165,0.110,0.020,0.019,0.007,0.003,0.005,4
I,0.315,0.230,0.090,0.129,0.043,0.040,0.040,7
I,0.155,0.105,0.050,0.018,0.005,0.004,0.005,4
M,0.280,0.205,0.100,0.117,0.055,0.029,0.030,5
F,0.430,0.335,0.120,0.444,0.155,0.115,0.140,13
F,0.395,0.315,0.105,0.352,0.119,0.091,0.120,16
M,0.385,0.285,0.105,0.291,0.122,0.069,0.088,12
F,0.480,0.385,0.135,0.536,0.190,0.142,0.173,14
F,0.445,0.330,0.105,0.453,0.180,0.103,0.123,9
M,0.395,0.295,0.115,0.316,0.121,0.060,0.111,12
M,0.400,0.300,0.125,0.417,0.191,0.090,0.118,9
M,0.415,0.325,0.140,0.417,0.154,0.102,0.144,10
M,0.315,0.250,0.090,0.203,0.062,0.037,0.080,11
F,0.345,0.260,0.090,0.207,0.078,0.044,0.077,10
M,0.360,0.295,0.130,0.277,0.090,0.057,0.101,10
I,0.295,0.225,0.090,0.111,0.041,0.025,0.032,7
I,0.325,0.250,0.080,0.176,0.060,0.036,0.063,7
M,0.375,0.300,0.100,0.247,0.104,0.048,0.083,11
I,0.280,0.205,0.055,0.114,0.045,0.028,0.034,7
M,0.355,0.265,0.085,0.201,0.069,0.053,0.070,8
M,0.350,0.255,0.080,0.192,0.080,0.039,0.063,9
I,0.275,0.200,0.065,0.104,0.048,0.021,0.030,7
I,0.290,0.205,0.070,0.098,0.036,0.019,0.035,8
I,0.250,0.190,0.060,0.077,0.036,0.012,0.025,6
I,0.180,0.125,0.035,0.027,0.010,0.006,0.009,4
I,0.150,0.100,0.025,0.015,0.005,0.004,0.005,2
I,0.160,0.110,0.025,0.018,0.007,0.006,0.005,3
M,0.555,0.455,0.160,1.058,0.393,0.228,0.293,13
M,0.555,0.440,0.150,1.092,0.416,0.212,0.441,15
M,0.525,0.410,0.130,0.990,0.387,0.243,0.295,15
M,0.465,0.360,0.080,0.488,0.191,0.125,0.155,11
F,0.490,0.360,0.110,0.501,0.161,0.107,0.195,17
M,0.400,0.305,0.085,0.297,0.108,0.071,0.100,10
F,0.480,0.375,0.105,0.525,0.219,0.120,0.155,12
M,0.505,0.400,0.125,0.770,0.274,0.159,0.255,13
F,0.520,0.400,0.120,0.652,0.261,0.202,0.165,15
M,0.525,0.400,0.130,0.830,0.241,0.183,0.275,11
M,0.545,0.420,0.130,0.879,0.374,0.170,0.230,13
M,0.520,0.400,0.120,0.823,0.298,0.181,0.265,15
M,0.505,0.380,0.130,0.656,0.227,0.179,0.220,13
M,0.525,0.425,0.120,0.867,0.283,0.176,0.290,18
M,0.510,0.390,0.125,0.657,0.262,0.184,0.175,10
M,0.520,0.385,0.115,0.669,0.239,0.172,0.205,12
F,0.520,0.405,0.125,0.644,0.242,0.174,0.210,12
M,0.535,0.410,0.135,0.862,0.286,0.153,0.320,14
M,0.445,0.345,0.090,0.380,0.143,0.074,0.125,10
M,0.530,0.440,0.205,0.835,0.320,0.218,0.245,14
F,0.360,0.265,0.090,0.207,0.078,0.057,0.060,8
F,0.535,0.420,0.150,0.737,0.279,0.186,0.215,14
F,0.520,0.405,0.140,0.818,0.280,0.183,0.260,17
M,0.530,0.415,0.130,0.843,0.275,0.195,0.265,20
F,0.530,0.420,0.130,1.001,0.340,0.226,0.265,17
F,0.660,0.520,0.200,1.676,0.673,0.481,0.450,17
M,0.520,0.385,0.140,0.660,0.249,0.204,0.160,9
M,0.535,0.420,0.130,0.806,0.301,0.181,0.280,14
M,0.695,0.515,0.175,1.517,0.578,0.411,0.390,15
F,0.510,0.390,0.105,0.612,0.187,0.150,0.195,13
M,0.485,0.355,0.120,0.547,0.215,0.162,0.140,10
F,0.605,0.460,0.170,1.122,0.347,0.305,0.315,13
F,0.580,0.455,0.165,1.137,0.369,0.301,0.275,13
M,0.650,0.515,0.175,1.481,0.530,0.272,0.525,20
M,0.620,0.505,0.185,1.528,0.690,0.368,0.350,13
M,0.615,0.525,0.155,1.138,0.367,0.236,0.370,20
F,0.605,0.495,0.190,1.437,0.469,0.266,0.410,15
M,0.570,0.440,0.155,1.116,0.478,0.232,0.270,13
M,0.570,0.430,0.120,1.062,0.348,0.167,0.310,15
M,0.585,0.405,0.150,1.257,0.435,0.202,0.325,15
F,0.550,0.440,0.155,0.946,0.313,0.183,0.335,16
F,0.540,0.440,0.135,0.959,0.239,0.221,0.300,17
M,0.640,0.510,0.190,1.613,0.622,0.361,0.470,14
F,0.610,0.470,0.145,1.153,0.403,0.296,0.320,14
M,0.545,0.450,0.150,0.978,0.337,0.191,0.300,11
F,0.590,0.445,0.130,1.133,0.383,0.234,0.320,13
M,0.345,0.270,0.095,0.197,0.067,0.050,0.070,9
F,0.550,0.430,0.155,0.785,0.289,0.227,0.233,11
F,0.530,0.425,0.170,0.949,0.349,0.240,0.278,17
F,0.530,0.455,0.165,0.981,0.316,0.282,0.297,11
I,0.485,0.375,0.140,0.521,0.200,0.123,0.170,8
M,0.385,0.275,0.115,0.269,0.098,0.083,0.085,8
M,0.455,0.340,0.135,0.462,0.168,0.158,0.120,9
M,0.490,0.380,0.140,0.761,0.245,0.167,0.185,10
M,0.530,0.410,0.165,0.732,0.189,0.170,0.310,11
M,0.505,0.385,0.145,0.678,0.236,0.179,0.200,15
M,0.490,0.380,0.140,0.639,0.231,0.142,0.195,13
M,0.465,0.350,0.140,0.576,0.202,0.151,0.190,15
F,0.470,0.360,0.145,0.537,0.173,0.138,0.195,15
M,0.560,0.410,0.165,0.930,0.351,0.237,0.300,13
M,0.505,0.385,0.150,0.642,0.246,0.152,0.215,12
M,0.515,0.435,0.145,0.882,0.292,0.206,0.255,10
I,0.385,0.280,0.125,0.244,0.102,0.038,0.085,6
I,0.215,0.155,0.060,0.053,0.021,0.017,0.015,5
M,0.550,0.415,0.175,1.042,0.330,0.233,0.291,15
F,0.515,0.390,0.130,0.576,0.198,0.130,0.185,9
M,0.495,0.385,0.135,0.709,0.211,0.138,0.262,12
F,0.505,0.390,0.160,0.644,0.248,0.203,0.164,9
F,0.600,0.465,0.165,0.888,0.309,0.246,0.262,12
F,0.570,0.465,0.160,0.894,0.315,0.258,0.263,10
F,0.485,0.375,0.135,0.556,0.193,0.132,0.169,10
M,0.470,0.370,0.180,0.510,0.192,0.129,0.163,9
M,0.575,0.450,0.165,0.922,0.328,0.225,0.256,12
M,0.580,0.465,0.160,1.035,0.315,0.260,0.364,12
M,0.515,0.405,0.145,0.695,0.215,0.164,0.234,15
M,0.530,0.410,0.155,0.716,0.281,0.169,0.214,11
M,0.440,0.335,0.110,0.394,0.157,0.096,0.122,9
M,0.520,0.420,0.160,0.745,0.255,0.157,0.289,11
F,0.425,0.345,0.110,0.367,0.125,0.081,0.117,11
M,0.460,0.340,0.135,0.495,0.166,0.117,0.185,10
M,0.450,0.335,0.125,0.349,0.119,0.106,0.115,10
M,0.425,0.330,0.130,0.441,0.152,0.094,0.155,9
I,0.370,0.275,0.100,0.220,0.094,0.045,0.065,7
M,0.515,0.380,0.135,0.662,0.288,0.210,0.155,10
M,0.405,0.305,0.120,0.319,0.124,0.091,0.095,7
I,0.280,0.205,0.070,0.102,0.041,0.030,0.030,6
F,0.480,0.400,0.125,0.759,0.213,0.179,0.240,15
F,0.440,0.340,0.130,0.420,0.153,0.116,0.130,10
F,0.520,0.410,0.115,0.807,0.286,0.179,0.235,12
M,0.505,0.405,0.140,0.875,0.267,0.174,0.285,12
F,0.490,0.365,0.130,0.684,0.165,0.132,0.205,21
I,0.235,0.175,0.055,0.067,0.027,0.013,0.018,6
I,0.255,0.185,0.060,0.088,0.037,0.021,0.023,5
I,0.315,0.240,0.085,0.172,0.071,0.035,0.054,7
I,0.325,0.250,0.080,0.174,0.077,0.035,0.049,7
I,0.335,0.250,0.080,0.183,0.074,0.040,0.058,6
I,0.350,0.270,0.090,0.206,0.075,0.058,0.062,6
I,0.350,0.250,0.070,0.180,0.066,0.048,0.054,6
I,0.360,0.300,0.085,0.270,0.119,0.064,0.075,7
I,0.365,0.275,0.135,0.240,0.108,0.045,0.074,7
I,0.370,0.275,0.140,0.222,0.097,0.046,0.062,6
I,0.380,0.275,0.095,0.138,0.086,0.059,0.061,7
I,0.385,0.290,0.095,0.312,0.143,0.064,0.086,6
I,0.385,0.300,0.100,0.290,0.122,0.063,0.090,7
I,0.395,0.290,0.095,0.319,0.138,0.080,0.082,7
I,0.395,0.290,0.095,0.304,0.127,0.084,0.077,6
I,0.400,0.310,0.100,0.306,0.130,0.060,0.094,6
I,0.410,0.325,0.100,0.394,0.208,0.066,0.106,6
I,0.415,0.320,0.110,0.374,0.175,0.076,0.109,7
M,0.415,0.305,0.100,0.325,0.156,0.051,0.091,6
I,0.425,0.325,0.100,0.398,0.119,0.065,0.095,6
I,0.440,0.365,0.115,0.501,0.244,0.084,0.147,9
I,0.445,0.335,0.100,0.490,0.275,0.086,0.111,7
I,0.445,0.325,0.100,0.378,0.180,0.100,0.089,7
I,0.450,0.350,0.130,0.547,0.245,0.141,0.141,8
M,0.470,0.375,0.120,0.581,0.266,0.094,0.169,8
I,0.475,0.365,0.125,0.547,0.229,0.119,0.172,9
F,0.480,0.365,0.135,0.640,0.295,0.113,0.175,8
I,0.485,0.355,0.105,0.498,0.218,0.096,0.153,9
M,0.490,0.385,0.125,0.609,0.307,0.096,0.178,8
F,0.495,0.410,0.125,0.756,0.336,0.129,0.214,9
M,0.500,0.400,0.125,0.598,0.270,0.128,0.166,9
M,0.505,0.440,0.140,0.828,0.342,0.186,0.239,8
M,0.525,0.395,0.130,0.764,0.338,0.143,0.225,8
M,0.540,0.405,0.125,0.891,0.482,0.192,0.202,9
F,0.540,0.420,0.140,0.805,0.369,0.173,0.210,11
F,0.545,0.440,0.135,0.919,0.429,0.202,0.238,10
F,0.550,0.430,0.125,0.923,0.404,0.175,0.283,8
M,0.550,0.450,0.150,1.015,0.407,0.202,0.288,10
F,0.550,0.450,0.150,0.875,0.362,0.176,0.277,10
M,0.555,0.435,0.145,0.969,0.499,0.168,0.239,9
M,0.565,0.450,0.155,1.060,0.474,0.240,0.265,10
M,0.570,0.455,0.150,0.952,0.390,0.216,0.275,9
M,0.570,0.435,0.130,0.754,0.349,0.176,0.194,10
F,0.575,0.465,0.140,0.958,0.442,0.182,0.271,9
M,0.590,0.475,0.165,1.077,0.455,0.244,0.310,9
M,0.590,0.460,0.130,1.102,0.455,0.206,0.330,12
F,0.595,0.480,0.150,1.110,0.498,0.228,0.330,10
F,0.595,0.480,0.160,1.210,0.523,0.296,0.320,8
F,0.595,0.475,0.160,1.141,0.547,0.231,0.271,6
F,0.595,0.465,0.140,1.113,0.518,0.244,0.305,12
M,0.600,0.475,0.175,1.345,0.549,0.288,0.360,11
F,0.600,0.475,0.155,1.210,0.653,0.170,0.321,10
M,0.600,0.495,0.175,1.290,0.606,0.276,0.345,11
F,0.605,0.475,0.175,1.382,0.609,0.233,0.399,10
M,0.605,0.455,0.160,1.104,0.421,0.302,0.325,9
F,0.615,0.500,0.175,1.377,0.559,0.330,0.292,12
F,0.615,0.520,0.150,1.344,0.629,0.261,0.345,10
M,0.615,0.510,0.150,1.296,0.545,0.332,0.320,9
